State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Phone,Day Mins,Eve Mins,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
WY,42,408,no,no,0,357-7060,146.3,255.9,84,24.87,113,21.75,45,117,2.03,8,12,2.16,1,0
DE,73,415,no,no,0,355-9541,254.8,143.4,85,43.32,80,12.19,153.9,102,6.93,15,7,4.05,2,0
ME,66,408,no,yes,26,378-4145,254.9,243.2,108,43.33,135,20.67,190.8,95,8.59,5.4,3,1.46,2,0
DC,103,510,no,yes,31,386-2317,107.7,188.9,124,18.31,104,16.06,196.2,98,8.83,8.9,3,2.4,0,0
IA,128,408,no,no,0,335-8146,158.8,264.8,75,27,91,22.51,270,77,12.15,7.6,7,2.05,1,0
CO,104,415,no,no,0,377-2235,182.9,239.6,113,31.09,85,20.37,229.8,104,10.34,5.5,4,1.49,2,0
MN,103,415,no,no,0,386-9141,198.5,42.5,112,33.75,90,3.61,179.2,124,8.06,12.4,5,3.35,0,0
VT,124,415,no,no,0,416-5623,178.4,233.6,72,30.33,134,19.86,179.4,91,8.07,12,2,3.24,0,0
AZ,87,510,no,no,0,327-3053,110.9,158.5,91,18.85,115,13.47,207.5,131,9.34,6.2,5,1.67,1,0
MO,167,415,yes,no,0,397-8772,244.8,60.8,91,41.62,105,5.17,176.7,110,7.95,10.7,3,2.89,2,0
MD,106,415,no,no,0,343-2350,165.3,210,118,28.1,101,17.85,187.2,93,8.42,8.5,3,2.3,2,0
VT,125,415,no,no,0,372-4722,126.7,155.5,113,21.54,131,13.22,206.2,112,9.28,14.4,7,3.89,2,0
DC,108,408,no,yes,35,399-8615,215.9,200.6,106,36.7,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0
WY,125,415,no,no,0,379-8248,140.1,209.6,132,23.82,126,17.82,264.1,77,11.88,8,2,2.16,1,0
VA,89,415,no,yes,32,414-6219,209.9,249.8,113,35.68,104,21.23,224.2,92,10.09,8.7,7,2.35,1,0
VA,72,510,yes,yes,29,387-1343,139.8,138.2,114,23.77,91,11.75,221,88,9.95,5.5,6,1.49,0,0
HI,149,510,no,no,0,393-8736,166.6,218.8,61,28.32,107,18.6,208.3,131,9.37,8.2,6,2.21,7,0
WI,73,415,no,no,0,402-7626,214.2,196.8,90,36.41,78,16.73,157.9,112,7.11,5.9,8,1.59,0,0
VT,73,408,no,no,0,417-2035,213,188.8,95,36.21,104,16.05,136.2,89,6.13,13.5,3,3.65,0,0
UT,118,415,no,yes,24,355-3602,118.1,109.6,83,20.08,72,9.32,245.5,73,11.05,16.9,2,4.56,1,0
CO,23,408,no,no,0,393-4027,190.2,166.4,89,32.33,108,14.14,219.8,73,9.89,15,4,4.05,6,0
NC,127,415,no,yes,25,418-5141,82.2,163.3,95,13.97,109,13.88,264.9,104,11.92,5.1,6,1.38,0,0
NJ,42,415,no,yes,32,406-1247,163.8,177.8,80,27.85,123,15.11,190.4,106,8.57,8.1,5,2.19,0,0
IA,45,510,no,no,0,332-2965,159.8,120.4,91,27.17,86,10.23,163,93,7.34,10.6,3,2.86,2,0
GA,50,408,no,yes,24,377-1218,214.3,289.8,129,36.43,55,24.63,312.5,130,14.06,10.6,4,2.86,1,0
MO,152,408,no,no,0,404-4611,101.2,141.6,122,17.2,87,12.04,198.5,124,8.93,7.5,3,2.03,2,0
WY,105,415,no,no,0,373-2339,102.8,281.7,74,17.48,125,23.94,228.1,113,10.26,13.2,5,3.56,2,0
HI,72,415,no,no,0,410-3503,109.1,115.7,97,18.55,96,9.83,295.8,84,13.31,8.3,6,2.24,0,0
PA,52,408,no,no,0,410-4739,215.9,217,67,36.7,108,18.45,342.8,130,15.43,5.2,2,1.4,1,0
TX,125,415,no,no,0,365-3562,203.4,128.7,110,34.58,97,10.94,190.5,113,8.57,11,4,2.97,1,0
VA,143,510,no,no,0,387-7641,110.1,169,113,18.72,59,14.37,166.7,94,7.5,9.2,2,2.48,1,0
RI,65,415,no,no,0,385-9744,111,219.8,51,18.87,84,18.68,202,89,9.09,4.4,14,1.19,1,0
WI,80,415,no,no,0,398-5006,239.9,142.3,121,40.78,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0
MS,1,415,no,no,0,408-3977,144.8,112.5,107,24.62,66,9.56,218.7,79,9.84,13.8,3,3.73,1,0
KY,60,408,no,no,0,334-2729,135.4,205.9,134,23.02,85,17.5,204,103,9.18,7.9,4,2.13,1,0
NC,43,415,no,no,0,334-7685,84.2,80.8,134,14.31,103,6.87,196.1,79,8.82,10.8,2,2.92,1,0
NV,143,415,no,no,0,350-9228,209.1,106.1,127,35.55,80,9.02,179.6,90,8.08,14,6,3.78,0,0
UT,81,415,no,yes,24,407-5774,130.1,196,117,22.12,61,16.66,139.3,123,6.27,11.4,5,3.08,0,0
ME,205,510,no,yes,24,413-4039,175.8,155,139,29.89,98,13.18,180.7,64,8.13,7.8,5,2.11,2,0
HI,24,415,no,no,0,343-2077,241.9,145.2,104,41.12,112,12.34,214.5,105,9.65,6.6,5,1.78,1,0
OH,74,415,no,no,0,336-5661,136.7,228.6,106,23.24,105,19.43,265.3,114,11.94,9.8,4,2.65,0,0
WV,77,510,no,no,0,355-4143,67.7,195.7,68,11.51,86,16.63,236.5,137,10.64,12,2,3.24,1,0
OK,74,415,no,no,0,366-5918,200.4,309.2,87,34.07,105,26.28,152.1,118,6.84,10,2,2.7,1,0
AL,200,408,no,no,0,408-2119,128.2,133.2,87,21.79,105,11.32,177.6,123,7.99,11.2,2,3.02,1,0
MD,86,408,no,no,0,329-2789,226.3,223,88,38.47,107,18.96,255.6,92,11.5,13,3,3.51,4,0
NE,91,510,no,yes,37,334-1508,162.3,233.9,107,27.59,115,19.88,277.4,94,12.48,9.2,4,2.48,0,0
DC,76,415,no,no,0,337-1506,224.4,147.9,121,38.15,97,12.57,183.8,74,8.27,6.7,2,1.81,2,0
TX,130,415,no,no,0,396-8400,120.5,189.7,127,20.49,52,16.12,270.1,107,12.15,14.3,2,3.86,1,0
OH,56,408,no,no,0,349-2654,91.1,179.3,90,15.49,115,15.24,300.7,89,13.53,11.9,8,3.21,2,0
DE,117,415,no,no,0,417-2716,168.8,241.4,137,28.7,107,20.52,204.8,106,9.22,15.5,4,4.19,0,0
IA,63,510,no,no,0,402-1725,153.5,287.3,81,26.1,115,24.42,230.2,85,10.36,6.5,5,1.76,2,0
VT,126,415,no,no,0,403-3229,226.2,140.3,88,38.45,114,11.93,208.9,110,9.4,6.4,2,1.73,0,0
OR,132,510,no,no,0,353-6056,191.9,206.9,107,32.62,127,17.59,272,88,12.24,12.6,2,3.4,1,0
NC,122,415,no,no,0,366-7069,180,145,88,30.6,77,12.33,233.7,120,10.52,11.5,6,3.11,2,0
MN,150,415,no,yes,28,393-6376,174.4,169.9,75,29.65,80,14.44,201.6,130,9.07,11,4,2.97,1,0
ID,99,408,no,no,0,354-7025,159.7,155.4,83,27.15,121,13.21,255.7,114,11.51,8.4,3,2.27,1,0
AL,87,408,no,no,0,351-6585,237.2,222.6,124,40.32,87,18.92,173.3,81,7.8,11,3,2.97,1,0
AK,108,415,no,no,0,330-5462,103,242.3,129,17.51,103,20.6,170.2,89,7.66,7.9,3,2.13,1,0
VT,101,415,no,no,0,407-2292,153.8,234,89,26.15,89,19.89,196.3,77,8.83,11.6,2,3.13,4,0
PA,53,415,no,no,0,340-3011,205.1,160.5,86,34.87,95,13.64,149.5,142,6.73,10.7,2,2.89,3,0
AK,132,415,no,yes,39,345-9153,175.7,187.2,93,29.87,94,15.91,225.5,118,10.15,8.6,3,2.32,2,0
CA,158,510,no,no,0,379-5503,155.9,224.2,123,26.5,112,19.06,221,116,9.95,8.6,8,2.32,2,0
MS,114,415,no,yes,34,389-6790,154.4,221.4,109,26.25,142,18.82,208.5,103,9.38,10.3,5,2.78,0,0
AR,77,415,no,yes,23,408-3610,209.7,183.6,73,35.65,63,15.61,205.5,111,9.25,7.1,3,1.92,2,0
NV,144,415,yes,no,0,375-8238,150,285.9,69,25.5,73,24.3,190.6,121,8.58,9.4,15,2.54,0,0
AL,91,510,no,yes,23,378-5633,232.4,186,97,39.51,88,15.81,190.5,128,8.57,12.3,3,3.32,3,0
GA,58,408,no,no,0,389-9120,165.4,115.7,100,28.12,87,9.83,193.8,118,8.72,12.8,5,3.46,2,0
AR,5,415,no,no,0,380-2758,199.2,187.3,106,33.86,12,15.92,214,85,9.63,13.3,3,3.59,3,0
MA,97,408,no,no,0,402-2728,217.6,320.5,81,36.99,51,27.24,150.7,110,6.78,4.2,3,1.13,0,0
NJ,107,415,no,no,0,354-9062,212.1,150.1,95,36.06,88,12.76,219.8,111,9.89,7.7,2,2.08,3,0
MO,142,415,no,yes,30,417-2054,154,165.8,75,26.18,97,14.09,270,83,12.15,10.8,5,2.92,1,0
NY,9,408,no,yes,31,353-1941,193.8,202.6,130,32.95,98,17.22,191.2,102,8.6,13.3,2,3.59,1,0
AZ,73,415,no,no,0,328-1522,175.4,248.1,130,29.82,105,21.09,122.4,85,5.51,12.2,4,3.29,0,0
WV,43,408,no,no,0,417-5320,230.2,186.7,147,39.13,121,15.87,128.4,100,5.78,9.2,3,2.48,0,0
SC,93,415,no,no,0,372-4835,190.2,262.2,68,32.33,64,22.29,130,92,5.85,8.8,4,2.38,0,0
VT,85,415,no,no,0,334-6605,176.4,224.9,122,29.99,123,19.12,219.6,50,9.88,11.5,1,3.11,1,0
TN,59,415,no,no,0,399-5564,160.9,251.2,95,27.35,65,21.35,273.4,97,12.3,5,5,1.35,3,0
LA,87,415,no,no,0,392-2887,228.7,163,90,38.88,99,13.86,154.1,90,6.93,11.8,3,3.19,1,0
OH,137,408,no,no,0,328-2110,144,181.6,90,24.48,100,15.44,128.1,93,5.76,12.3,2,3.32,0,0
OR,21,510,no,yes,31,383-5976,135.9,271,90,23.1,84,23.04,179.1,89,8.06,9.5,7,2.57,6,0
KY,104,415,no,no,0,330-5255,130.5,131.2,77,22.19,117,11.15,264.7,63,11.91,13,6,3.51,0,0
OR,161,415,no,no,0,353-7096,105.4,214.8,70,17.92,122,18.26,223.6,126,10.06,7.8,5,2.11,0,0
TX,50,510,no,no,0,395-6002,188.9,203.9,94,32.11,104,17.33,151.8,124,6.83,11.6,8,3.13,3,0
MO,103,408,no,yes,24,372-9816,111.8,239.6,85,19.01,102,20.37,268.3,81,12.07,6.9,4,1.86,1,0
ND,84,415,no,yes,33,400-7253,159.1,149.8,106,27.05,101,12.73,213.4,108,9.6,13,18,3.51,1,0
MN,92,510,no,no,0,344-7470,212.4,224.6,105,36.11,118,19.09,221.3,105,9.96,9,4,2.43,1,0
NV,77,415,no,no,0,378-8572,142.3,306.3,112,24.19,111,26.04,196.5,82,8.84,9.9,1,2.67,1,0
FL,159,415,no,yes,15,340-5460,113.9,145.3,102,19.36,146,12.35,195.2,137,8.78,11.8,9,3.19,1,0
NV,138,510,no,no,0,395-8595,171.4,115.2,117,29.14,128,9.79,224.5,115,10.1,17,4,4.59,3,0
NV,178,408,no,no,0,359-4587,275.4,187.5,150,46.82,62,15.94,147.1,126,6.62,13.6,3,3.67,1,0
SC,38,415,no,yes,31,375-5439,197.2,249.9,118,33.52,70,21.24,298.9,104,13.45,3.9,2,1.05,0,0
MI,50,415,no,yes,35,361-3779,192.6,135.2,97,32.74,101,11.49,216.2,101,9.73,7.9,2,2.13,2,0
MI,45,510,no,yes,26,375-8934,91.7,150.6,104,15.59,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0
TN,70,510,no,no,0,395-4757,126.3,141.6,99,21.47,106,12.04,255.9,96,11.52,9.6,2,2.59,0,0
NY,147,510,no,yes,33,421-7205,251.5,234.1,107,42.76,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0
NV,94,510,no,no,0,379-8805,190.6,152.3,108,32.4,95,12.95,144.7,97,6.51,7.5,5,2.03,1,0
IL,179,510,no,no,0,348-2150,116.1,201.8,101,19.74,99,17.15,181.9,103,8.19,11.6,5,3.13,0,0
MS,116,415,no,no,0,417-9128,217.3,216.1,91,36.94,95,18.37,148.1,76,6.66,11.3,3,3.05,2,0
ND,59,510,no,no,0,351-4226,179.4,232.5,80,30.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,0
NC,165,415,no,no,0,330-6630,207.7,164.8,109,35.31,94,14.01,54.5,91,2.45,7.9,3,2.13,0,0
TN,140,415,no,no,0,372-3987,125.3,167.6,84,21.3,121,14.25,260.6,94,11.73,8.4,4,2.27,1,0
VT,93,408,no,yes,32,408-5183,138.1,167.3,91,23.48,72,14.22,238.9,115,10.75,6.8,3,1.84,2,0
OK,52,510,no,yes,38,412-9357,169.3,225.9,88,28.78,97,19.2,172,86,7.74,8.2,3,2.21,0,0
DE,64,415,no,yes,27,402-3599,201.3,143.8,101,34.22,89,12.22,150.2,127,6.76,12.3,3,3.32,1,0
ND,12,510,yes,no,0,379-5211,216.7,116.5,117,36.84,126,9.9,220,110,9.9,9.8,4,2.65,2,0
OR,48,415,no,no,0,405-9217,190.4,317.5,92,32.37,85,26.99,133.4,113,6,8.3,4,2.24,2,0
NY,181,408,no,no,0,340-9200,143.3,195.5,91,24.36,58,16.62,223.3,95,10.05,6,7,1.62,1,0
MO,168,415,no,yes,42,339-9026,97.4,203.6,57,16.56,98,17.31,173.9,124,7.83,11.4,2,3.08,2,0
FL,155,415,no,no,0,343-4772,181.4,167.7,111,30.84,92,14.25,168.5,122,7.58,11.3,3,3.05,3,0
ND,105,510,no,no,0,345-2108,246.4,256.2,83,41.89,101,21.78,169,151,7.61,3.8,4,1.03,0,0
NY,11,415,no,no,0,401-4650,143.4,289.4,130,24.38,50,24.6,194,100,8.73,9.7,6,2.62,2,0
ND,182,415,no,no,0,400-3945,104.9,198.5,111,17.83,120,16.87,258.2,91,11.62,8,5,2.16,2,0
NY,104,415,no,no,0,338-3781,156.2,193,93,26.55,54,16.41,222.7,94,10.02,13.1,5,3.54,1,0
OH,102,415,no,no,0,342-6316,114.8,81.9,125,19.52,126,6.96,304.3,101,13.69,12,4,3.24,0,0
AL,122,415,no,no,0,336-5920,232.5,205.5,96,39.53,120,17.47,213.7,91,9.62,11.9,2,3.21,0,0
SC,41,415,no,no,0,332-1060,143.6,152.4,117,24.41,108,12.95,194.4,110,8.75,8.6,3,2.32,1,0
GA,132,415,no,no,0,418-3426,176.7,244.1,132,30.04,80,20.75,176.3,120,7.93,9.1,4,2.46,2,0
WV,13,415,no,no,0,334-6142,146.4,148.5,74,24.89,92,12.62,216.7,96,9.75,11.3,3,3.05,1,0
HI,115,415,no,yes,33,336-6128,145,194.5,72,24.65,157,16.53,242.3,138,10.9,14.2,3,3.83,2,0
WV,67,408,no,no,0,406-6708,167.8,167.7,91,28.53,69,14.25,110.3,71,4.96,8.4,12,2.27,1,0
LA,154,510,no,no,0,388-8670,166.9,154.9,99,28.37,97,13.17,189.4,89,8.52,7.2,5,1.94,0,0
AR,100,510,no,no,0,363-5853,142.5,195.7,87,24.23,88,16.63,122.1,117,5.49,7.8,8,2.11,2,0
AK,146,510,yes,no,0,383-6544,133,262.8,65,22.61,93,22.34,214.3,128,9.64,11.2,3,3.02,1,0
DC,148,415,no,yes,11,378-2940,252.9,284.3,129,42.99,88,24.17,262.8,99,11.83,12.3,1,3.32,1,0
AL,67,415,no,yes,28,338-7683,95,291.2,94,16.15,73,24.75,159.6,114,7.18,10,2,2.7,2,0
KS,70,415,no,no,0,369-9465,222.8,215.9,114,37.88,113,18.35,223.5,122,10.06,0,0,0,1,0
MN,116,510,no,no,0,337-3769,201.8,231.5,82,34.31,95,19.68,226.1,130,10.17,16.5,5,4.46,0,0
UT,87,415,no,no,0,411-6663,146.3,171.8,108,24.87,102,14.6,167.5,66,7.54,5.3,9,1.43,1,0
IN,87,510,no,no,0,384-3101,234.8,140.9,85,39.92,91,11.98,204.3,93,9.19,9.5,5,2.57,1,0
CT,70,408,no,no,0,339-5329,198.6,213.9,111,33.76,115,18.18,171.2,105,7.7,10.6,6,2.86,2,0
DE,131,408,no,no,0,388-9944,94.4,215.1,80,16.05,101,18.28,179.7,108,8.09,13.1,9,3.54,2,0
VT,119,510,no,no,0,403-1769,190.4,215.6,74,32.37,113,18.33,161.2,111,7.25,10,1,2.7,2,0
MO,119,408,no,yes,32,390-1612,142.6,208.2,77,24.24,126,17.7,171,102,7.69,12,2,3.24,3,0
RI,87,510,yes,no,0,421-7214,134.2,165,80,22.81,71,14.03,173.1,102,7.79,10.7,5,2.89,0,0
RI,75,415,no,no,0,333-9826,122.8,211.3,89,20.88,104,17.96,261.4,91,11.76,10.7,2,2.89,2,0
CT,150,510,no,no,0,411-8549,189.3,220.9,77,32.18,105,18.78,238.7,117,10.74,9.2,5,2.48,4,0
IN,161,510,no,yes,38,381-9234,240.4,201.8,112,40.87,102,17.15,206.1,112,9.27,16.1,6,4.35,0,0
FL,91,510,yes,yes,24,387-9855,93.5,183.4,112,15.9,128,15.59,240.7,133,10.83,9.9,3,2.67,0,0
KS,124,415,no,no,0,371-6990,158.6,211.2,104,26.96,77,17.95,179.3,104,8.07,10.2,8,2.75,3,0
NY,94,510,yes,no,0,417-3046,243.2,147,109,41.34,88,12.5,94.9,99,4.27,7.2,4,1.94,4,0
TX,217,408,no,no,0,385-7082,176.4,158.8,115,29.99,128,13.5,306.6,107,13.8,9.3,3,2.51,4,0
RI,158,510,no,no,0,365-5886,220.9,242.2,129,37.55,108,20.59,233.3,75,10.5,6.4,5,1.73,0,0
NV,102,415,no,no,0,373-5196,144.4,266.5,87,24.55,128,22.65,217.6,59,9.79,7.1,7,1.92,0,0
UT,85,510,no,no,0,327-6194,212.3,228.4,107,36.09,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0
OK,79,510,no,no,0,381-4565,147,165.7,72,24.99,102,14.08,243.2,107,10.94,8.4,9,2.27,1,0
MN,139,510,no,yes,25,357-9832,96.2,178.9,112,16.35,70,15.21,182.1,84,8.19,12.9,10,3.48,2,0
NC,103,415,no,no,0,396-4845,263.4,179.1,118,44.78,69,15.22,214.7,112,9.66,10.3,2,2.78,0,0
OR,98,415,yes,no,0,378-6772,12.5,256.6,67,2.13,90,21.81,169.4,88,7.62,7.7,9,2.08,1,0
NH,78,408,no,no,0,353-4296,162.3,192.4,116,27.59,86,16.35,240.6,100,10.83,10.1,3,2.73,2,0
AK,50,408,no,no,0,362-8331,183.6,58.6,107,31.21,118,4.98,202.6,99,9.12,8.7,3,2.35,1,0
OR,161,415,no,no,0,362-4685,178.1,146.5,109,30.28,86,12.45,137.6,78,6.19,8.5,2,2.3,1,0
KS,67,408,no,no,0,383-1431,201.4,97.6,101,34.24,122,8.3,202.5,119,9.11,7,3,1.89,0,0
WV,86,415,no,yes,38,332-2258,123,133.9,158,20.91,119,11.38,138.2,103,6.22,13.3,4,3.59,1,0
GA,92,510,no,no,0,375-8304,208,198.9,125,35.36,76,16.91,76.4,97,3.44,8.6,6,2.32,0,0
NM,174,415,no,no,0,340-5580,239.2,188.5,72,40.66,124,16.02,105.6,116,4.75,8.8,3,2.38,1,0
OH,124,510,no,no,0,362-1490,193,89.8,97,32.81,99,7.63,172.8,104,7.78,15.3,3,4.13,1,0
ND,132,415,no,yes,31,336-4281,174.5,245.6,101,29.67,105,20.88,172.8,76,7.78,10.3,9,2.78,1,0
RI,190,415,no,yes,26,361-1315,116.7,145.9,71,19.84,88,12.4,175.1,103,7.88,9.9,3,2.67,1,0
HI,101,510,no,no,0,342-5906,93.8,150,127,15.95,104,12.75,241.1,116,10.85,10.7,2,2.89,1,0
WY,185,415,yes,yes,30,405-7904,154.1,118.7,114,26.2,106,10.09,258.4,105,11.63,12.9,3,3.48,2,0
NY,68,415,no,yes,29,349-4762,239.5,203.8,82,40.72,105,17.32,167.8,70,7.55,9.9,6,2.67,0,0
KS,117,510,no,yes,25,385-3263,216,224.1,140,36.72,69,19.05,267.9,112,12.06,11.8,4,3.19,0,0
LA,118,408,no,no,0,405-9496,187.4,177.8,97,31.86,89,15.11,233.4,97,10.5,12.2,6,3.29,1,0
PA,124,415,no,no,0,396-6775,167.4,233.2,119,28.46,143,19.82,109.6,115,4.93,10.3,5,2.78,0,0
NV,22,510,no,no,0,393-6475,160.4,218.1,108,27.27,88,18.54,192.9,115,8.68,12.5,4,3.38,1,0
MN,75,415,no,no,0,379-7779,143.2,209.1,92,24.34,142,17.77,173,96,7.79,11.9,9,3.21,1,0
PA,134,408,no,no,0,408-8650,205.3,240.5,122,34.9,155,20.44,179.1,107,8.06,5,9,1.35,1,0
MO,164,408,no,yes,25,400-3497,219.1,151.5,88,37.25,99,12.88,50.1,60,2.25,14.3,6,3.86,1,0
NY,44,510,no,no,0,407-9244,143.2,169.8,77,24.34,114,14.43,215.8,77,9.71,7.6,4,2.05,1,0
ME,177,415,no,no,0,406-8809,232.8,175.2,106,39.58,97,14.89,212.2,77,9.55,12.5,7,3.38,2,0
NH,110,408,no,no,0,358-1778,162,247.5,81,27.54,89,21.04,155.5,99,7,8.9,8,2.4,0,0
WY,53,415,no,yes,27,337-4339,25.9,206.5,119,4.4,96,17.55,228.1,64,10.26,6.5,7,1.76,1,0
MN,158,408,no,no,0,372-6623,209.9,221.3,112,35.68,82,18.81,210,93,9.45,8.2,3,2.21,1,0
OH,114,415,no,no,0,363-2602,191.5,175.2,88,32.56,78,14.89,220.3,118,9.91,0,0,0,0,0
NC,64,408,no,yes,19,387-7757,291.1,226.7,150,49.49,123,19.27,219.1,67,9.86,7.5,2,2.03,1,0
SD,88,415,no,no,0,397-5381,215.6,216.2,115,36.65,85,18.38,171.3,65,7.71,11.8,1,3.19,3,0
UT,82,510,yes,no,0,406-4604,208.8,213.7,101,35.5,87,18.16,175.1,86,7.88,12.4,6,3.35,3,0
KY,111,415,no,no,0,376-9513,255.9,204.1,97,43.5,129,17.35,171.3,84,7.71,12.3,5,3.32,3,0
MT,60,408,no,no,0,360-1852,252.7,221.1,97,42.96,121,18.79,109.9,100,4.95,12.4,4,3.35,2,0
NJ,113,408,no,no,0,421-7270,132.1,247.5,72,22.46,107,21.04,246.2,123,11.08,6.9,6,1.86,3,0
FL,109,408,no,no,0,371-9482,217,207,115,36.89,142,17.6,268,106,12.06,8.2,4,2.21,1,0
IN,105,510,no,yes,42,337-4101,101.9,223.1,79,17.32,97,18.96,241.6,77,10.87,12.9,2,3.48,0,0
DE,85,510,no,no,0,420-2796,211.5,184.6,100,35.96,88,15.69,164.3,131,7.39,13.3,4,3.59,2,0
AL,131,510,no,no,0,366-4225,153.4,198.5,86,26.08,81,16.87,164.4,83,7.4,10.4,3,2.81,0,0
ME,59,510,no,no,0,398-4567,166.3,239.3,95,28.27,87,20.34,123.2,108,5.54,10,3,2.7,2,0
SD,148,408,no,no,0,388-4571,185.2,170.4,87,31.48,96,14.48,165.1,104,7.43,9.5,13,2.57,1,0
VA,210,408,no,no,0,360-8666,104.6,149.5,121,17.78,71,12.71,255.1,67,11.48,6.5,8,1.76,2,0
AK,115,415,no,no,0,333-3704,245.2,159,105,41.68,109,13.52,229.9,74,10.35,7.2,8,1.94,0,0
ID,106,510,no,no,0,383-2566,274.4,198.6,120,46.65,82,16.88,160.8,62,7.24,6,3,1.62,1,0
RI,93,415,no,no,0,406-5584,98.4,249.6,78,16.73,129,21.22,248.2,114,11.17,14.2,4,3.83,1,0
KY,57,415,no,yes,29,344-4691,279.9,223.1,121,47.58,109,18.96,251.7,94,11.33,13,2,3.51,1,0
ND,98,510,no,no,0,347-9737,187.2,195.6,127,31.82,88,16.63,181.8,129,8.18,5.1,4,1.38,1,0
HI,157,415,no,no,0,333-7961,276.2,165.8,95,46.95,119,14.09,151.6,79,6.82,2.2,4,0.59,3,0
WI,116,415,no,yes,35,364-2439,200.4,272.8,104,34.07,89,23.19,214.5,100,9.65,8.3,4,2.24,1,0
WV,30,510,no,no,0,411-8043,162.3,244,96,27.59,122,20.74,180.1,89,8.1,9.1,4,2.46,2,0
KS,52,415,no,no,0,413-4831,165.5,205.5,78,28.14,89,17.47,213.6,124,9.61,12.2,6,3.29,0,0
AL,72,415,no,no,0,343-4806,217.8,189.7,93,37.03,113,16.12,182.6,91,8.22,10.4,5,2.81,4,0
NC,86,510,no,no,0,391-8626,190.5,179.6,115,32.39,130,15.27,258.5,89,11.63,10.1,5,2.73,3,0
DE,98,415,no,yes,29,327-5817,179.9,189.2,97,30.58,89,16.08,164.3,76,7.39,12.8,7,3.46,3,0
WY,151,510,no,no,0,381-4712,235.9,80.6,104,40.1,91,6.85,212.8,116,9.58,5.8,2,1.57,3,0
ID,118,415,no,no,0,335-3320,140.4,187.1,112,23.87,60,15.9,207.9,155,9.36,7.9,1,2.13,0,0
NY,117,415,no,no,0,415-8780,144.6,258.8,115,24.58,66,22,253.2,113,11.39,7.4,9,2,2,0
MO,55,510,no,no,0,362-1146,189,118.5,100,32.13,99,10.07,248.1,87,11.16,17.1,6,4.62,0,0
ID,82,408,no,no,0,352-7413,101,155.6,93,17.17,104,13.23,304.4,93,13.7,13.3,2,3.59,0,0
IA,152,415,no,no,0,387-6716,206.3,292.8,98,35.07,82,24.89,43.7,121,1.97,10.6,4,2.86,1,0
TN,108,408,no,yes,15,352-1127,165.1,267,85,28.07,93,22.7,250.7,114,11.28,10.9,4,2.94,1,0
IL,130,415,no,no,0,403-5279,155.9,256.1,95,26.5,97,21.77,262.9,103,11.83,11.7,3,3.16,3,0
FL,136,408,yes,no,0,397-9333,199.2,214.7,122,33.86,114,18.25,150.9,105,6.79,11.8,7,3.19,1,0
MA,47,415,no,no,0,411-7353,155.3,188.2,116,26.4,85,16,247,73,11.12,12.3,4,3.32,3,0
OK,189,415,no,no,0,383-2537,208.3,236.7,106,35.41,123,20.12,179.1,120,8.06,11.3,5,3.05,3,0
KY,107,415,no,no,0,330-4419,157.1,162.6,79,26.71,124,13.82,150,138,6.75,12.1,6,3.27,1,0
VA,11,408,no,yes,24,358-6796,131.5,230.2,98,22.36,111,19.57,283.7,87,12.77,10,3,2.7,2,0
NY,167,415,no,no,0,409-7494,166.4,243.2,85,28.29,135,20.67,229.2,95,10.31,9.9,5,2.67,1,0
MT,111,408,no,no,0,400-1636,142.3,122.8,75,24.19,106,10.44,229.5,94,10.33,12.8,9,3.46,2,0
VT,99,408,no,yes,19,389-2747,87.7,223,103,14.91,86,18.96,182.3,112,8.2,7.3,4,1.97,2,0
KS,159,415,no,yes,19,415-2176,184.1,194.5,78,31.3,71,16.53,225.6,101,10.15,16.9,3,4.56,0,0
VA,114,415,yes,yes,31,377-8067,174.5,224.2,104,29.67,92,19.06,116.3,91,5.23,12.3,10,3.32,2,0
AL,71,415,no,no,0,362-7835,103.3,138.5,103,17.56,79,11.77,164.8,98,7.42,9,2,2.43,2,0
PA,122,415,no,no,0,361-5225,35.1,180.8,62,5.97,89,15.37,251.6,58,11.32,12.7,2,3.43,1,0
AL,100,408,no,yes,25,333-3447,246.6,141.4,94,41.92,112,12.02,189.8,109,8.54,13,5,3.51,1,0
WV,83,415,no,yes,37,341-3044,78.5,210.5,109,13.35,101,17.89,179.7,102,8.09,11.8,4,3.19,1,0
TN,105,408,no,no,0,353-8849,206.2,256.4,84,35.05,138,21.79,117.1,91,5.27,9,3,2.43,1,0
ID,144,415,no,yes,33,402-3476,251.6,197.6,87,42.77,118,16.8,209.2,97,9.41,12.2,3,3.29,2,0
TX,19,510,no,yes,34,409-3520,156.6,224.2,97,26.62,97,19.06,260.9,135,11.74,11.3,1,3.05,1,0
MA,46,408,no,no,0,357-1085,139.4,223.7,81,23.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,0
